"yyyy-mm-dd","team1","team2","score1","score2"
"15/09/2012","Helsingborg","Sundsvall","4","0"
"16/09/2012","Djurgarden","AIK","0","3"
"16/09/2012","Goteborg","Elfsborg","2","1"
"17/09/2012","Gefle","Hacken","0","2"
"17/09/2012","Kalmar","Orebro","1","2"
"17/09/2012","Atvidabergs","Malmo FF","0","1"
"21/09/2012","Djurgarden","Hacken","0","3"
"22/09/2012","Syrianska","Orebro","2","2"
"23/09/2012","Elfsborg","Sundsvall","0","0"
"23/09/2012","Gefle","Mjallby","1","0"
"23/09/2012","Kalmar","Atvidabergs","2","0"
"23/09/2012","Norrkoping","AIK","2","2"
"24/09/2012","Goteborg","GAIS","0","0"
"24/09/2012","Helsingborg","Malmo FF","1","1"
"26/09/2012","Atvidabergs","Djurgarden","2","1"
"26/09/2012","Mjallby","Kalmar","1","0"
"26/09/2012","Orebro","Norrkoping","0","1"
"26/09/2012","Sundsvall","Gefle","0","1"
"26/09/2012","AIK","Elfsborg","1","1"
"27/09/2012","Hacken","Helsingborg","2","2"
"27/09/2012","Malmo FF","Goteborg","1","2"
"28/09/2012","GAIS","Syrianska","1","4"
"30/09/2012","Helsingborg","Atvidabergs","3","0"
"30/09/2012","Sundsvall","AIK","2","3"
"30/09/2012","Elfsborg","Orebro","1","0"
"30/09/2012","Gefle","Kalmar","0","0"
"01/10/2012","Djurgarden","Mjallby","0","1"
"01/10/2012","Norrkoping","GAIS","7","2"
"01/10/2012","Syrianska","Malmo FF","0","2"
"01/10/2012","Goteborg","Hacken","1","1"
"05/10/2012","Malmo FF","Norrkoping","2","0"
"06/10/2012","Hacken","Syrianska","5","1"
"06/10/2012","Atvidabergs","Goteborg","1","2"
"07/10/2012","AIK","Gefle","0","1"
"07/10/2012","Kalmar","Djurgarden","2","2"
"07/10/2012","Mjallby","Helsingborg","0","2"
"07/10/2012","GAIS","Elfsborg","1","2"
"07/10/2012","Orebro","Sundsvall","2","2"
"20/10/2012","Gefle","Atvidabergs","1","2"
"20/10/2012","Mjallby","Hacken","1","2"
"21/10/2012","Helsingborg","Orebro","1","1"
"21/10/2012","Kalmar","Malmo FF","1","2"
"21/10/2012","Goteborg","AIK","0","1"
"21/10/2012","Norrkoping","Elfsborg","2","1"
"22/10/2012","Djurgarden","GAIS","3","0"
"22/10/2012","Syrianska","Sundsvall","1","1"
"26/10/2012","Malmo FF","Djurgarden","3","1"
"27/10/2012","Hacken","Kalmar","1","2"
"28/10/2012","AIK","Syrianska","1","1"
"28/10/2012","GAIS","Helsingborg","1","3"
"28/10/2012","Orebro","Goteborg","1","0"
"28/10/2012","Sundsvall","Norrkoping","0","4"
"28/10/2012","Atvidabergs","Mjallby","0","0"
"29/10/2012","Elfsborg","Gefle","2","0"
"31/10/2012","Helsingborg","Goteborg","2","0"
"31/10/2012","Kalmar","Norrkoping","0","2"
"31/10/2012","Djurgarden","Syrianska","1","1"
"01/11/2012","Atvidabergs","Sundsvall","2","2"
"01/11/2012","GAIS","Gefle","2","3"
"01/11/2012","Mjallby","Elfsborg","2","3"
"01/11/2012","Hacken","AIK","1","1"
"01/11/2012","Malmo FF","Orebro","1","1"
"04/11/2012","AIK","Malmo FF","2","0"
"04/11/2012","Elfsborg","Atvidabergs","1","1"
"04/11/2012","Gefle","Helsingborg","2","2"
"04/11/2012","Goteborg","Djurgarden","1","0"
"04/11/2012","Norrkoping","Mjallby","2","1"
"04/11/2012","Orebro","GAIS","4","0"
"04/11/2012","Sundsvall","Hacken","1","2"
"04/11/2012","Syrianska","Kalmar","3","0"
"10/11/2012","Halmstad","Sundsvall","3","0"
"17/11/2012","Sundsvall","Halmstad","4","3"
